<node>	<namespace>	<title>	<nodeTerms>	<category>	<submittable>	<description>	<additionalProperties>	<property_ref>	<program>	<project>	<required>	<link_name>	<backref>	<label>	<target>	<multiplicity>	<link_required>	<link_group_required>	<group_exclusive>
aliquot	https://gen3.datacommons.io/	Aliquot		biospecimen	True	A portion of the original sample.	False	_definitions.yaml#/ubiquitous_properties	*	*	submitter_id, type, samples	samples	aliquots	derived_from	sample	many_to_many	True		
visit	https://gen3.datacommons.io/	Visit		administrative	True	A record of a study subject's visit to or remote contact with a medical professional or study administrator to capture time-based data from longitudinal studies. A clinical encounter that encompasses planned and unplanned trial interventions, procedures and assessments that may be performed on a subject. A visit has a start and an end, each described with a rule. The process by which information about the health status of an individual is obtained before and after a study has officially closed; an activity that continues something that has already begun or that repeats something that has already been done.	False	_definitions.yaml#/ubiquitous_properties	*	*	submitter_id, type, subjects	subjects	visits	describes	subject	many_to_one	True		
imaging_file	https://gen3.datacommons.io/	Imaging File		data_file	True	"Data file containing a diagnostic image from a clinical imaging exam.
"	False	_definitions.yaml#/data_file_properties	*	*	submitter_id, type, file_name, file_size, md5sum, data_format, data_type, data_category	['core_metadata_collections', 'subjects']	['imaging_files', 'imaging_files']	['data_from', 'data_from']	['core_metadata_collection', 'subject']	['many_to_one', 'many_to_one']	[False, False]	True	False
study	https://data.braincommons.org/	Study		administrative	True	A coordinated set of actions and observations designed to generate data, with the ultimate goal of discovery or hypothesis testing.	False		*	*	submitter_id, type, data_description, study_description, projects	projects	studies	performed_for	project	many_to_one	True		
derived_image	https://gen3.datacommons.io/	Derived Image		data_file	True	Data file containing a derived image or a composite image created from the combination of individual slices or scans.	False	_definitions.yaml#/data_file_properties	*	*	submitter_id, type, file_name, file_size, data_format, data_type, data_category, md5sum, derivation_method	['core_metadata_collections', 'imaging_files']	['derived_images', 'derived_images']	['data_from', 'derived_from']	['core_metadata_collection', 'imaging_file']	['many_to_one', 'many_to_many']	[False, False]	True	False
lab_test	https://gen3.datacommons.io/	Lab Test		data_observations	True	Parameters associated with the result of a standardized, clinical laboratory test aimed at quantifying a particular molecule, analyte or biological marker in a biospecimen collected from a study subject.	False	_definitions.yaml#/ubiquitous_properties	*	*	submitter_id, type, sample_composition, test_type, analyte_name, subjects	subjects	lab_tests	related_to	subject	many_to_one	True		
medical_condition	https://gen3.datacommons.io/	Medical Condition		medical_history	True	Information related to the medical condition of a subject within the context of a particular study. This includes a snapshot of the subject's status with respect to certain diseases, disorders, symptoms, injuries, or illnesses within the context of the study.	False	_definitions.yaml#/ubiquitous_properties	*	*	submitter_id, type, subjects	subjects	medical_conditions	related_to	subject	many_to_one	True		
read_group	https://gen3.datacommons.io/	Read Group		biospecimen	True	Sequencing reads from one lane of an NGS experiment.	False	_definitions.yaml#/ubiquitous_properties	*	*	submitter_id, type, aliquots	aliquots	read_groups	derived_from	aliquot	many_to_one	True		
sample	https://gen3.datacommons.io/	Sample		biospecimen	True	Any material sample taken from a biological entity for testing, diagnostic, propagation, treatment or research purposes, including a sample obtained from a living organism or taken from the biological object after halting of all its life functions. Biospecimen can contain one or more components including but not limited to cellular molecules, cells, tissues, organs, body fluids, embryos, and body excretory products. In the case of contrived samples, it describes any material obtained from a normal donor.	False	_definitions.yaml#/ubiquitous_properties	*	*	submitter_id, type, subjects	subjects	samples	related_to	subject	many_to_one	True		
supplementary_file	https://gen3.datacommons.io/	Supplementary File		data_file	True	A file related to the study that provides additional context such as documentation, notes, reference files, data dictionaries, or supplementary files or figures.	False	_definitions.yaml#/data_file_properties	*	*	submitter_id, type, file_name, file_size, md5sum, data_type, data_format, data_category	core_metadata_collections	supplementary_files	belongs_to	core_metadata_collection	many_to_one	True		
