<node>	<field>	<description>	<type>	<terms>	<pattern>	<maximum>	<minimum>	<options1>	<options2>	<options3>	<options4>	<options5>	<options6>	<options7>	<options8>
aliquot	a260_a280_ratio	Ratio 260 and 280 nm	number												
aliquot	aliquot_container	The device in which the final aliquot is held.	enum					Slide | Vial | Microplate | Tube 							
aliquot	aliquot_weight	The initial weight of the aliquot.	number												
aliquot	aliquot_volume	The initial volume of the aliquot.	number												
aliquot	isolation_method	The name or general description of the method used to isolate the analyte. Alternatively, if you have provided a protocol, put the file_name here.	string												
aliquot	analyte_qc_class	Term that best describes the analyte's QC Class.	enum					Acceptable | Does Not Meet Spec | High | Low 							
aliquot	analyte_qc_status	Analyte QC Status	enum					Complete | Incomplete 							
aliquot	analyte_type	Any aspect of an aliquot used in an analysis or assay to characterize the sample. These aspects range from molecules, such as DNA and RNA, that can be extracted from the aliquot to general descriptions of the aliquot's components, such as cell count and morphology.	enum					Cell Count | DNA | Morphology | Peptide | Plasma | Protein | RNA | Serum | Whole blood 							
aliquot	clinical_or_contrived	Is the aliquot clinical or contrived?	enum					Clinical | Contrived 							
aliquot	concentration	Concentration of the analyte in the aliquot.	number												
aliquot	concentration_units	The units used for the analyte's concentration in the aliquot.	string												
aliquot	contrivance_method	The name or general description of the contrivance(s) added to the biological aliquot. Alternatively, if you have provided a contrivance protocol, enter its file_name here.	string												
aliquot	days_to_aliquoting	The amount of time, in days, between the date used for index and the time the aliquot was separated from the whole sample.	integer												
aliquot	days_to_assay	The amount of time, in days, between the date used for index and the assay used to address this analyte.	integer												
aliquot	preservation_method		enum	_terms.yaml#/preservation_method				Cryopreserved | FFPE | Fresh | Frozen | OCT | Snap Frozen | Unknown 							
aliquot	storage_temperature	The temperature, in centigrade, at which the aliquot was preserved and/or stored.	number												
visit	days_to_visit	The number of days between the case Index Date and the date of the visit, call or other interaction.	integer												
visit	days_to_visit_end	The number of days from the index date to the date the patient's visit ended.	integer												
visit	days_to_visit_start	The number of days from the index date to the date the patient's visit began.	integer												
visit	months_between_visits	The number of months between the case Index Date and the date  of the visit, call or other interaction	integer												
visit	visit_duration	The number of days from the start date of the visit to the end date of the visit.	integer												
visit	visit_epoch	If a single visit is sub-divided into multiple time-points or epochs, or if an unscheduled visit takes place between two integer-labeled visits, specify the order of such sub-divisions, timepoints, or unscheduled visits here. For example, specify 'visit_number' of '1' and 'visit_epoch' of '2' for 'Visit 1.2'. If there is no sub-division of a single visit into multiple timepoints or unscheduled visits between numbered visits, submit only 'visit_number'.	integer												
visit	visit_label	"The reason for or context of the visit, call or other interaction. For a generic visit, specify ""Visit""."	enum					Annual Clinical | Baseline | Biopsy | CTCC Only | Consent | Electronic Health Records | Endpoint | Final | Follow up | Genetic Testing | Imaging | Log | Other (specify) | Pre-screening | Premature Withdrawal | Randomize | Re-screen | Screening | Screening/Baseline Combined | Study Completion | Symptomatic Therapy | Transfer Event | Unexpected Event | Unknown | Visit | Washout 							
visit	visit_label_other	The reason for or context of the visit, call or other interaction, if 'Other (specify)' was chosen for 'visit_label'.	string												
visit	visit_method	The way the visit took place, whether in person or remotely.	enum					Email | In-person Visit | Other (specify) | Phone Call | Software Application | Text Message | Unknown | Website | Written Communication 							
visit	visit_method_other	The way the visit took place, if 'Other (specify)' was chosen for 'visit_method'.	string												
visit	visit_number	The order number of this visit in relation to other visits. For example, if this is 'Visit 2' out of 'Visit 1, Visit 2, ..., Visit N', then specify a 'visit_number' of '2'. See 'visit_epoch' to specify sub-divisions of a single visit. For example, if observations were made every hour during a 3 hour visit, specify a 'visit_epoch' of '1','2', and '3' with the same 'visit_number' to record each hour's observations.	integer												
visit	visit_scheduled	Specify whether the visit was scheduled or unscheduled.	enum					Scheduled | Unscheduled 							
visit	visit_type	Text term used to describe the type of visit.	enum					Inpatient | Intensive outpatient | Outpatient 							
visit	visit_units	If a visit is defined by a given interval of time, specify the time interval. For example, for a visit defined as 'Month 6 Visit', specify 'Month' for 'visit_units' and specify '6' for 'visit_number'.	enum					Biweekly | Day | Month | Quarter | Week | Year 							
imaging_file	echo_time	The time (milliseconds) between the application of the radiofrequency excitation pulse and the peak of the signal induced in the coil.	number												
imaging_file	field_strength	The field strength (in Tesla, T) of the MRI magnet.	number												
imaging_file	field_angle	the angle of excitation for a field echo pulse sequence.	number												
imaging_file	fov	Field-of-view (FOV); the distance (in cm or mm) over which an MR image is acquired or displayed. The FOV is typically divided into several hundred picture elements (pixels), each approximately 1 mm² in size.	number												
